"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0600000US2501115200","Conway town, Franklin County, Massachusetts","97188","12012"
"0600000US2501121780","Erving town, Franklin County, Massachusetts","62750","14731"
"0600000US2501142040","Monroe town, Franklin County, Massachusetts","26458","6786"
"0600000US2501161905","Shutesbury town, Franklin County, Massachusetts","83750","11702"
"0600000US2501168400","Sunderland town, Franklin County, Massachusetts","61102","7942"
"0600000US2501174525","Wendell town, Franklin County, Massachusetts","44531","13774"
"0600000US2501158335","Rowe town, Franklin County, Massachusetts","54750","10685"
"0600000US2502109175","Brookline town, Norfolk County, Massachusetts","113515","5309"
"0600000US2502111315","Canton town, Norfolk County, Massachusetts","105371","4823"
"0600000US2502141515","Millis town, Norfolk County, Massachusetts","106336","3371"
"0600000US2502144105","Needham town, Norfolk County, Massachusetts","153032","16743"
"0600000US2502146050","Norfolk town, Norfolk County, Massachusetts","146607","8157"
"0600000US2502154100","Plainville town, Norfolk County, Massachusetts","98280","5196"
"0600000US2502172495","Walpole town, Norfolk County, Massachusetts","112897","7475"
"0600000US2502117405","Dover town, Norfolk County, Massachusetts","224784","36225"
"0600000US2502707525","Boylston town, Worcester County, Massachusetts","98520","8479"
"0600000US2502728740","Hardwick town, Worcester County, Massachusetts","58924","8188"
"0600000US2502730945","Hopedale town, Worcester County, Massachusetts","107550","4379"
"0600000US2502753225","Phillipston town, Worcester County, Massachusetts","81250","14838"
"0600000US2502703740","Barre town, Worcester County, Massachusetts","68139","9879"
"0600000US2502767385","Sterling town, Worcester County, Massachusetts","107348","22224"
"0600000US2502728950","Harvard town, Worcester County, Massachusetts","148625","17056"
"0600000US2502763165","Southborough town, Worcester County, Massachusetts","145079","11903"
"0600000US2502734165","Lancaster town, Worcester County, Massachusetts","103071","15990"
"0600000US2502775155","West Boylston town, Worcester County, Massachusetts","78313","15779"
"0600000US2502750670","Oakham town, Worcester County, Massachusetts","84375","8618"
"0600000US2500170605","Truro town, Barnstable County, Massachusetts","65446","10571"
"0600000US2500107980","Brewster town, Barnstable County, Massachusetts","73765","7203"
"0600000US2500182525","Yarmouth town, Barnstable County, Massachusetts","63061","3285"
"0600000US2500721150","Edgartown town, Dukes County, Massachusetts","64810","17563"
"0600000US2500701585","Aquinnah town, Dukes County, Massachusetts","87000","14264"
"0600000US2500300555","Adams town, Berkshire County, Massachusetts","49191","3593"
"0600000US2501738715","Marlborough city, Middlesex County, Massachusetts","79228","3487"
"0600000US2500334340","Lanesborough town, Berkshire County, Massachusetts","76818","9937"
"0600000US2500351580","Otis town, Berkshire County, Massachusetts","76058","15325"
"0600000US2501519370","Easthampton Town city, Hampshire County, Massachusetts","59604","4697"
"0600000US2502178972","Weymouth Town city, Norfolk County, Massachusetts","79034","5271"
"0600000US2501572880","Ware town, Hampshire County, Massachusetts","51908","5077"
"0600000US2501526535","Granby town, Hampshire County, Massachusetts","95987","13215"
"0600000US2501531785","Huntington town, Hampshire County, Massachusetts","59881","10257"
"0600000US2501504825","Belchertown town, Hampshire County, Massachusetts","93300","4630"
"0600000US2501579915","Williamsburg town, Hampshire County, Massachusetts","79487","7212"
"0600000US2501756130","Reading town, Middlesex County, Massachusetts","112634","10940"
"0600000US2501702130","Ashland town, Middlesex County, Massachusetts","121406","14153"
"0600000US2501711525","Carlisle town, Middlesex County, Massachusetts","171625","30952"
"0600000US2501761380","Sherborn town, Middlesex County, Massachusetts","180769","20485"
"0600000US2501703005","Ayer town, Middlesex County, Massachusetts","84917","19894"
"0600000US2501768260","Sudbury town, Middlesex County, Massachusetts","176570","10277"
"0600000US2501752805","Pepperell town, Middlesex County, Massachusetts","96750","6576"
"0600000US2501711000","Cambridge city, Middlesex County, Massachusetts","95404","2915"
"0600000US2501745560","Newton city, Middlesex County, Massachusetts","139696","4471"
"0600000US2500313345","Cheshire town, Berkshire County, Massachusetts","64979","14004"
"0600000US2500377990","West Stockbridge town, Berkshire County, Massachusetts","75982","7971"
"0600000US2500361065","Sheffield town, Berkshire County, Massachusetts","76250","11212"
"0600000US2500316180","Dalton town, Berkshire County, Massachusetts","59122","10210"
"0600000US2501376030","Westfield city, Hampden County, Massachusetts","63660","4228"
"0600000US2501313660","Chicopee city, Hampden County, Massachusetts","49434","2378"
"0600000US2501358650","Russell town, Hampden County, Massachusetts","74079","7279"
"0600000US2502350145","Norwell town, Plymouth County, Massachusetts","151306","10873"
"0600000US2502338855","Marshfield town, Plymouth County, Massachusetts","96514","10341"
"0600000US2502327795","Halifax town, Plymouth County, Massachusetts","92111","16154"
"0600000US2502330210","Hingham town, Plymouth County, Massachusetts","133596","10479"
"0600000US2502328285","Hanover town, Plymouth County, Massachusetts","120000","10527"
"0600000US2502375260","West Bridgewater town, Plymouth County, Massachusetts","86806","11589"
"0600000US2502354415","Plympton town, Plymouth County, Massachusetts","98359","16571"
"0600000US2502379530","Whitman town, Plymouth County, Massachusetts","83066","5160"
"0600000US2500946365","North Andover town, Essex County, Massachusetts","109371","6251"
"0600000US2500958405","Rowley town, Essex County, Massachusetts","114063","21353"
"0600000US2500927900","Hamilton town, Essex County, Massachusetts","133333","25431"
"0600000US2501105560","Bernardston town, Franklin County, Massachusetts","64940","5062"
"0600000US2501135285","Leyden town, Franklin County, Massachusetts","78594","4260"
"0600000US2501173265","Warwick town, Franklin County, Massachusetts","55417","10095"
"0600000US2501145490","New Salem town, Franklin County, Massachusetts","69750","12871"
"0600000US2501116670","Deerfield town, Franklin County, Massachusetts","76250","9740"
"0600000US2501109595","Buckland town, Franklin County, Massachusetts","53716","5371"
"0600000US2501114885","Colrain town, Franklin County, Massachusetts","56149","3462"
"0600000US2502139765","Medfield town, Norfolk County, Massachusetts","155039","10467"
"0600000US2502150250","Norwood town, Norfolk County, Massachusetts","90511","3352"
"0600000US2502104930","Bellingham town, Norfolk County, Massachusetts","99569","7626"
